simulation_id,year,patients_alive,patients_treated,revenue,price
27,2037,523,42,96596485.37885736,2299916.318544223
27,2038,488,32,73597322.19341514,2299916.318544223
27,2039,464,27,62097740.60069402,2299916.318544223
27,2040,450,32,73597322.19341514,2299916.318544223
27,2041,435,37,85096903.78613625,2299916.318544223
27,2042,416,40,91996652.74176893,2299916.318544223
27,2043,399,39,89696736.4232247,2299916.318544223
27,2044,374,31,71297405.87487091,2299916.318544223
27,2045,353,29,66697573.23778246,2299916.318544223
27,2046,345,32,73597322.19341514,2299916.318544223
27,2047,334,42,96596485.37885736,2299916.318544223
27,2048,315,33,75897238.51195936,2299916.318544223
27,2049,305,40,91996652.74176893,2299916.318544223
27,2050,281,30,68997489.55632669,2299916.318544223
27,2051,271,29,66697573.23778246,2299916.318544223
27,2052,251,30,68997489.55632669,2299916.318544223
27,2053,244,32,73597322.19341514,2299916.318544223
27,2054,244,43,98896401.69740158,2299916.318544223
27,2055,219,28,64397656.91923824,2299916.318544223
27,2056,214,37,85096903.78613625,2299916.318544223
27,2057,200,32,73597322.19341514,2299916.318544223
27,2058,188,34,78197154.83050358,2299916.318544223
27,2059,175,35,80497071.1490478,2299916.318544223
27,2060,152,19,43698410.05234024,2299916.318544223
29,2031,1048,72,165593974.93518406,2299916.318544223
29,2032,985,79,181693389.1649936,2299916.318544223
29,2033,913,129,296689205.09220475,2299916.318544223
29,2034,811,131,301289037.7292932,2299916.318544223
29,2035,684,108,248390962.4027761,2299916.318544223
29,2036,605,97,223091882.8987896,2299916.318544223
29,2037,517,51,117295732.24575537,2299916.318544223
29,2038,476,30,68997489.55632669,2299916.318544223
29,2039,455,24,55197991.64506135,2299916.318544223
29,2040,444,32,73597322.19341514,2299916.318544223
29,2041,430,37,85096903.78613625,2299916.318544223
29,2042,413,40,91996652.74176893,2299916.318544223
29,2043,398,40,91996652.74176893,2299916.318544223
29,2044,373,32,73597322.19341514,2299916.318544223
29,2045,352,25,57497907.963605575,2299916.318544223
29,2046,348,38,87396820.10468048,2299916.318544223
29,2047,332,39,89696736.4232247,2299916.318544223
29,2048,314,32,73597322.19341514,2299916.318544223
29,2049,308,39,89696736.4232247,2299916.318544223
29,2050,286,32,73597322.19341514,2299916.318544223
29,2051,274,29,66697573.23778246,2299916.318544223
29,2052,256,30,68997489.55632669,2299916.318544223
29,2053,249,32,73597322.19341514,2299916.318544223
29,2054,249,42,96596485.37885736,2299916.318544223
29,2055,224,30,68997489.55632669,2299916.318544223
29,2056,216,34,78197154.83050358,2299916.318544223
29,2057,205,33,75897238.51195936,2299916.318544223
29,2058,194,35,80497071.1490478,2299916.318544223
29,2059,181,34,78197154.83050358,2299916.318544223
29,2060,159,17,39098577.41525179,2299916.318544223
30,2032,1057,66,151794477.02391872,2299916.318544223
30,2033,995,84,193192970.75771472,2299916.318544223
30,2034,936,121,278289874.54385096,2299916.318544223
30,2035,819,132,303588954.04783744,2299916.318544223
30,2036,716,131,301289037.7292932,2299916.318544223
30,2037,594,87,200092719.7133474,2299916.318544223
30,2038,516,41,94296569.06031314,2299916.318544223
30,2039,484,31,71297405.87487091,2299916.318544223
30,2040,465,35,80497071.1490478,2299916.318544223
30,2041,446,37,85096903.78613625,2299916.318544223
30,2042,427,38,87396820.10468048,2299916.318544223
30,2043,412,41,94296569.06031314,2299916.318544223
30,2044,386,31,71297405.87487091,2299916.318544223
30,2045,365,29,66697573.23778246,2299916.318544223
30,2046,357,36,82796987.46759203,2299916.318544223
