simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
160,True,1436732.3339261417,1.2389903214490607,True,5066508.711084877,1.6689444646507714,True,11898744.95707788,2.872998970646101,True,4284079.572374824,0.8618701916634115
161,False,1170535.0555691659,1.6928897777702698,,,,,,,,,
162,True,1623021.691118979,1.3545673301606596,False,5814520.638761299,2.0474527429900538,,,,,,
163,True,1722404.5691123349,1.4328697254995935,True,5020650.152885084,2.1979332663509688,True,19517966.158901706,2.5356966951715987,True,2125726.645633426,0.576907387297338
164,False,1103886.3895307109,1.2327530293765827,,,,,,,,,
165,True,1197126.3017219354,1.5088176188345694,True,4919018.556869934,2.4417753283828554,True,13770174.75681005,2.762441982113031,True,3506730.925124365,0.9870026654163395
166,True,1580729.812594525,1.0437353876434547,True,5449006.639733147,2.4183622734577144,True,17700976.351501167,2.506208674574202,True,4757045.405748352,0.8957442360197518
167,True,1366027.0023771997,1.0856310401674214,True,4704340.820338039,2.3500763108458234,True,13609997.183431325,2.6627099525915003,True,3325765.9733053027,0.9670053829968028
168,True,819640.6965355425,1.2670344740627182,False,5360369.534126883,1.56984123916224,,,,,,
169,True,1794795.4099217835,1.6325411826430967,True,3610618.857941385,2.1952361391309583,True,10986773.139230764,2.6307892271515936,True,4713530.544118971,0.8717095124628522
170,False,1456418.3131504082,1.9234010512631476,,,,,,,,,
171,True,1145369.935944202,1.6826963291970758,True,5114393.140654659,1.8624061658448674,True,18655106.663633488,2.2367676813396025,True,4244350.57124445,0.9922519727203691
172,True,1175214.4072081468,1.4647510393497898,True,4073954.026677684,1.9319518336476493,True,18604619.259955466,2.8391472422901076,True,4335945.375011204,0.9104575565833628
173,True,1871876.690220034,1.5814058890426712,True,3385289.3333784817,2.222736591481199,True,11192919.98687328,2.926618445893077,True,3929412.0904726963,0.5386717385747224
174,True,942458.5142601439,1.830695132176276,False,3442360.221967008,1.9563328255503638,,,,,,
175,True,1631642.9714267612,1.1838054332762136,True,4625226.6113148155,2.2769194427662374,True,12454415.632357728,2.160128206362495,True,2567227.7862075935,0.8725687361717583
176,False,1395550.0599545962,1.9466430828981105,,,,,,,,,
177,False,1565625.2990538618,1.8925986427799868,,,,,,,,,
178,False,1780363.9252085453,1.1888440391932944,,,,,,,,,
179,True,1795620.712715798,1.229984884074807,True,3181585.348543364,1.984851617884733,True,11525578.484052675,2.262567705854284,True,4126052.3518450744,0.9228800162285509
180,True,1783952.235797076,1.1017113336282445,False,5945051.338544093,2.1429027701531256,,,,,,
181,True,1400674.926748572,1.0959975529107973,True,5808942.018362405,1.6597892915010006,True,19607473.469313994,2.5962111960426775,True,4955825.098206947,0.5413822401286001
182,True,1270889.1268287622,1.3255574355381823,True,5533739.856689199,2.1961226557925757,True,13913061.919206463,2.7843004358699144,False,2598403.5066713043,0.6445893697136428
183,True,1893947.8203969747,1.4777462157454102,False,3829526.6571241207,1.5308745161283113,,,,,,
184,False,1526175.0929828149,1.1360335486289466,,,,,,,,,
185,True,1364430.6692556688,1.6703693489090221,True,4157604.4475738285,1.853976700512988,True,15480946.734429862,2.9630453819948426,False,4247711.384985158,0.9228969337539641
186,True,1166874.0668644058,1.5818955042906113,True,3135396.439367332,2.3517691744235987,True,17506593.12896512,2.7482497541156197,True,2815545.4925736226,0.5748350894826598
187,True,1366243.8306296072,1.1885828218954044,False,4140439.3572401144,1.7240383334975036,,,,,,
188,True,1004819.7565626936,1.720227986833847,True,5964618.462110845,2.220968117898415,True,17248474.70705636,2.555800098498188,True,3296353.2918753736,0.5707330256983334
189,True,1640003.7088093916,1.4152418337783068,True,5784686.414229419,2.329210623940515,True,16570822.965267852,2.856225070927466,True,2056934.5256173862,0.82025739705994
190,True,1257420.9735887675,1.3285793661742964,True,5215135.451383562,2.439447108480082,True,14639207.993527448,2.6907810099147285,True,2787418.1371250534,0.7389658533291381
